Time,Open,High,Low,Close,Volume
06/05/2018,1315.058,1315.309,1314.221,1314.659,120
07/05/2018,1314.659,1318.889,1310.198,1315.782,1380
08/05/2018,1315.781,1317.762,1306.028,1316.329,1380
09/05/2018,1316.329,1317.382,1304.201,1312.408,1380
10/05/2018,1312.349,1322.831,1310.698,1321.101,1380
11/05/2018,1321.061,1325.901,1317.202,1317.909,1259
13/05/2018,1318.291,1320.193,1317.772,1320.089,120
14/05/2018,1320.089,1322.311,1312.609,1313.748,1378
15/05/2018,1313.768,1314.819,1288.662,1292.838,1380
16/05/2018,1292.789,1296.829,1286.349,1291.739,1380
17/05/2018,1291.658,1294.348,1285.081,1289.478,1380
18/05/2018,1289.468,1294.151,1286.038,1292.868,1259
20/05/2018,1290.421,1291.962,1289.972,1291.142,120
21/05/2018,1291.009,1293.389,1282.029,1292.441,1379
22/05/2018,1292.442,1296.121,1287.898,1293.451,1380
23/05/2018,1293.441,1298.442,1287.879,1294.921,1380
24/05/2018,1294.882,1306.581,1292.718,1304.341,1379
25/05/2018,1304.341,1307.758,1299.809,1301.349,1259
27/05/2018,1299.588,1299.888,1296.248,1298.759,120
28/05/2018,1298.779,1300.282,1295.448,1297.989,1140
29/05/2018,1297.991,1306.608,1292.738,1302.068,1379
30/05/2018,1302.068,1304.338,1295.858,1302.519,1380
31/05/2018,1302.498,1306.418,1297.391,1299.338,1380
01/06/2018,1299.338,1300.521,1289.252,1292.811,1260
03/06/2018,1292.622,1294.491,1292.321,1292.718,120
04/06/2018,1292.689,1298.021,1290.3,1291.539,1380
05/06/2018,1291.539,1300.472,1289.868,1296.901,1380
06/06/2018,1296.891,1301.772,1293.739,1297.279,1379
07/06/2018,1297.281,1303.099,1294.839,1297.211,1380
08/06/2018,1297.162,1300.539,1293.252,1298.438,1259
10/06/2018,1299.778,1299.788,1298.211,1299.122,120
11/06/2018,1299.161,1302.209,1294.059,1298.138,1379
12/06/2018,1298.118,1299.778,1293.218,1295.448,1380
13/06/2018,1295.448,1301.191,1291.409,1299.319,1380
14/06/2018,1299.411,1309.271,1297.488,1302.322,1379
15/06/2018,1302.321,1302.968,1275.348,1279.558,1259
17/06/2018,1277.272,1281.239,1276.978,1280.909,120
18/06/2018,1280.909,1282.342,1277.009,1281.278,1379
19/06/2018,1281.258,1284.028,1270.388,1274.949,1379
20/06/2018,1274.931,1276.372,1267.331,1269.399,1380
21/06/2018,1269.399,1270.079,1261.352,1267.281,1380
22/06/2018,1267.282,1271.146,1266.688,1269.071,1259
24/06/2018,1270.001,1271.958,1269.329,1270.888,120
25/06/2018,1270.812,1272.551,1264.481,1265.988,1380
26/06/2018,1265.988,1267.629,1254.788,1258.158,1380
27/06/2018,1258.159,1260.048,1250.671,1252.891,1379
28/06/2018,1252.891,1254.238,1245.918,1248.519,1379
29/06/2018,1248.528,1255.569,1246.109,1252.529,1259
01/07/2018,1251.521,1254.178,1251.278,1253.299,120
02/07/2018,1253.308,1253.579,1239.638,1242.108,1379
03/07/2018,1242.088,1256.822,1237.949,1254.979,1380
04/07/2018,1254.949,1261.051,1254,1256.908,1140
05/07/2018,1256.909,1259.699,1251.279,1257.291,1379
06/07/2018,1257.301,1258.881,1252.778,1254.768,1259
08/07/2018,1255.348,1256.478,1254.728,1256.368,120
09/07/2018,1256.198,1265.868,1255.448,1258.349,1380
10/07/2018,1258.332,1260.309,1247.299,1255.908,1378
11/07/2018,1255.908,1256.048,1241.498,1242.668,1379
12/07/2018,1242.668,1248.528,1241.258,1245.908,1380
13/07/2018,1245.898,1248.058,1236.338,1241.439,1259
15/07/2018,1240.969,1242.128,1240.498,1241.108,120
16/07/2018,1241.109,1245.528,1238.288,1240.682,1380
17/07/2018,1240.669,1244.939,1226.018,1227.149,1380
18/07/2018,1227.149,1229.118,1221.058,1227.322,1380
19/07/2018,1227.329,1228.998,1211.509,1223.438,1380
20/07/2018,1223.428,1232.228,1215.659,1231.551,1259
22/07/2018,1231.371,1233.351,1230.329,1232.852,120
23/07/2018,1232.852,1235.082,1222.3,1224.199,1380
24/07/2018,1224.189,1229.479,1218.101,1225.129,1380
25/07/2018,1225.149,1234.182,1223.208,1233.049,1380
26/07/2018,1233.058,1235.131,1222.289,1224.068,1379
27/07/2018,1224.068,1227.312,1217.538,1222.679,1259
29/07/2018,1222.622,1223.839,1222.001,1222.449,118
30/07/2018,1222.449,1225.029,1219.008,1222.489,1380
31/07/2018,1222.478,1228.519,1213.938,1223.888,1380
01/08/2018,1223.898,1224.718,1215.618,1217.798,1379
02/08/2018,1217.808,1221.268,1206.829,1208.368,1379
03/08/2018,1208.358,1219.978,1204.5,1213.218,1259
05/08/2018,1213.532,1215.139,1213.299,1214.848,120
06/08/2018,1214.848,1217.828,1205.549,1208.699,1379
07/08/2018,1208.709,1216.109,1207.759,1212.379,1379
08/08/2018,1212.388,1215.801,1206.431,1213.241,1380
09/08/2018,1213.242,1217.239,1210.749,1212.088,1379
10/08/2018,1212.079,1217.072,1205.668,1210.988,1259
12/08/2018,1210.672,1213.818,1210.571,1212.351,119
13/08/2018,1212.319,1212.628,1191.619,1192.778,1380
14/08/2018,1192.778,1198.679,1191.998,1193.868,1380
15/08/2018,1193.869,1194.128,1173.071,1173.738,1380
16/08/2018,1173.738,1181.992,1160.168,1175.298,1380
17/08/2018,1175.309,1185.002,1171.838,1184.678,1259
19/08/2018,1183.329,1183.918,1182.778,1183.558,120
20/08/2018,1183.558,1191.278,1182.878,1191.161,1374
21/08/2018,1191.142,1196.959,1187.638,1195.991,1380
22/08/2018,1195.999,1201.558,1192.572,1195.038,1380
23/08/2018,1195.038,1195.439,1183.859,1184.498,1380
24/08/2018,1184.519,1208.512,1183.118,1205.592,1259
26/08/2018,1206.868,1207.909,1206.069,1207.719,120
27/08/2018,1207.709,1212.399,1203.111,1210.981,1379
28/08/2018,1210.988,1214.239,1199.599,1202.638,1380
29/08/2018,1202.628,1207.808,1201.408,1207.169,1379
30/08/2018,1207.168,1207.198,1196.258,1199.858,1380
31/08/2018,1199.849,1208.819,1198.229,1200.737,1259
02/09/2018,1200.138,1200.608,1198.721,1199.088,120
03/09/2018,1199.079,1203.808,1195.648,1200.741,1140
04/09/2018,1200.728,1201.969,1189.569,1191.989,1380
05/09/2018,1191.988,1198.331,1190.878,1197.068,1380
06/09/2018,1197.079,1206.941,1195.778,1201.109,1379
